Rank,Athlete,Year,Team,Time,Distance,Points,Meet,Meet Date,Wind,Event,Conference,Gender,Event_ID
11,"Robinson, Crystal",SR-4,Moravian,58.3,,,Lehigh Games 2023,7-Apr-23,,400 Meters,AARTFC,Women,6
12,"Igwe, Chidimma",JR-3,Rutgers-Newark,58.33,,,Middlesex College Invitational,15-Apr-23,,400 Meters,AARTFC,Women,6
13,"Gonzalez, Noelle",SR-4,Scranton,58.43,,,Bison Outdoor Classic,14-Apr-23,,400 Meters,AARTFC,Women,6
14,"Sosa Caceres, Amanthy",SR-4,Rowan,58.59,,,2023 Danny Curran Invitational,30-Mar-23,,400 Meters,AARTFC,Women,6
15,"Pedersen, Kathleen",SR-4,Rowan,58.65,,,Oscar Moore Invitational 2023,8-Apr-23,,400 Meters,AARTFC,Women,6
16,"Rhee, Isabella",JR-3,Carnegie Mellon,58.68,,,2023 Carnegie Mellon Last Chance Meet,13-Apr-23,,400 Meters,AARTFC,Women,6
17,"Mix, Mackenzie",SO-2,Utica,58.85,,,Hamilton College Mid-week Invitational,18-Apr-23,,400 Meters,AARTFC,Women,6
18,"Sensini, Clara",SR-4,Brockport St.,59.05,,,Bison Outdoor Classic,14-Apr-23,,400 Meters,AARTFC,Women,6
19,"Kneppel, Rebecca",SO-2,Ramapo,59.2,,,Ramapo College Track & Field Invitational,31-Mar-23,,400 Meters,AARTFC,Women,6
20,"Wright, Grace",SO-2,St. John Fisher,59.21,,,Bison Outdoor Classic,14-Apr-23,,400 Meters,AARTFC,Women,6
21,"Giamoni, Abby",SO-2,Moravian,59.23,,,WCU Bill Butler Invitational,15-Apr-23,,400 Meters,AARTFC,Women,6
22,"Klimow, Julianna",SO-2,SUNY Geneseo,59.36,,,Brockport Multi & Invitational,14-Apr-23,,400 Meters,AARTFC,Women,6
23,"Levine, Sarah",SR-4,Brockport St.,59.65,,,Geneseo Early Season Invitational,2-Apr-23,,400 Meters,AARTFC,Women,6
23,"Badillo, Sonialys",SR-4,Misericordia,59.65,,,2023 Danny Curran Invitational,30-Mar-23,,400 Meters,AARTFC,Women,6
25,"Byrne, Rachel",SR-4,Moravian,59.78,,,Muhlenberg Outdoor Invitational,1-Apr-23,,400 Meters,AARTFC,Women,6
26,"Barr, Kelly",FR-1,Widener,59.79,,,WCU Golden Ram Invitational,8-Apr-23,,400 Meters,AARTFC,Women,6
27,"Raczka, Jenna",SO-2,Buffalo State,59.81,,,Bison Outdoor Classic,14-Apr-23,,400 Meters,AARTFC,Women,6
28,"Conerly, Isre'al",SR-4,NYU,59.85,,,Mets Outdoor Track & Field Championships,8-Apr-23,,400 Meters,AARTFC,Women,6
29,"O'Grady, Kelly",FR-1,TCNJ,59.9,,,WCU Bill Butler Invitational,15-Apr-23,,400 Meters,AARTFC,Women,6
30,"Hill, Caroline",SO-2,RIT,59.95,,,Geneseo Early Season Invitational,2-Apr-23,,400 Meters,AARTFC,Women,6
31,"Kass, Kayla",FR-1,Stockton,59.97,,,Ramapo College Track & Field Invitational,31-Mar-23,,400 Meters,AARTFC,Women,6
32,"Tratnyek, Claire",FR-1,Hamilton,59.99,,,RPI Under the Lights Invite 2023,14-Apr-23,,400 Meters,AARTFC,Women,6
1,"Ivanov, Alex",JR-3,Carnegie Mellon,1:50,,,Bison Outdoor Classic,14-Apr-23,,800 Meters,AARTFC,Men,7
2,"Sikorski, Scott",SR-4,Rochester,1:51,,,Duke Invitational,6-Apr-23,,800 Meters,AARTFC,Men,7
3,"Sheehan, Matthew",SO-2,SUNY Geneseo,1:52,,,Bison Outdoor Classic,14-Apr-23,,800 Meters,AARTFC,Men,7
4,"Ruggles, Ezra",JR-3,SUNY Geneseo,1:53,,,Bison Outdoor Classic,14-Apr-23,,800 Meters,AARTFC,Men,7
5,"Goldberg, Joshua",SO-2,SUNY Geneseo,1:53,,,Bison Outdoor Classic,14-Apr-23,,800 Meters,AARTFC,Men,7
6,"Sheridan, Kieran",SR-4,SUNY Geneseo,1:53,,,RIT Invitational,8-Apr-23,,800 Meters,AARTFC,Men,7
7,"Davies, Leland",SR-4,Carnegie Mellon,1:53,,,Bison Outdoor Classic,14-Apr-23,,800 Meters,AARTFC,Men,7
8,"Diaz, Jon",SR-4,NYU,1:53,,,Larry Ellis Invitational 2023,14-Apr-23,,800 Meters,AARTFC,Men,7
9,"Jarski, Luke",JR-3,Oneonta,1:53,,,Bison Outdoor Classic,14-Apr-23,,800 Meters,AARTFC,Men,7
10,"Beyer, Arthur",SR-4,Johns Hopkins,1:53,,,Bison Outdoor Classic,14-Apr-23,,800 Meters,AARTFC,Men,7
11,"Burtnett, Sean",SR-4,TCNJ,1:53,,,Larry Ellis Invitational 2023,14-Apr-23,,800 Meters,AARTFC,Men,7
12,"Omonije, Fisayo",FR-1,Johns Hopkins,1:54,,,Bison Outdoor Classic,14-Apr-23,,800 Meters,AARTFC,Men,7
13,"Conte, Amara",SO-2,Rowan,1:54,,,2023 Danny Curran Invitational,30-Mar-23,,800 Meters,AARTFC,Men,7
14,"Walters, Josh",JR-3,Fredonia,1:54,,,Bison Outdoor Classic,14-Apr-23,,800 Meters,AARTFC,Men,7
15,"Gobel, Rece",SR-4,Springfield,1:55,,,SILFEN INVITATIONAL 2023,14-Apr-23,,800 Meters,AARTFC,Men,7
16,"Boyce, Timothy",SO-2,St. Lawrence,1:55,,,University of Vermont Quad TF Meet,8-Apr-23,,800 Meters,AARTFC,Men,7
17,"McLaughlin, Colin",SO-2,Carnegie Mellon,1:55,,,Carnegie Mellon Track & Field Invitational,24-Mar-23,,800 Meters,AARTFC,Men,7
18,"Andrews, Alec",SR-4,SUNY Geneseo,1:55,,,RIT Invitational,8-Apr-23,,800 Meters,AARTFC,Men,7
19,"Dutton, Sean",SO-2,Carnegie Mellon,1:55,,,2023 Carnegie Mellon Last Chance Meet,13-Apr-23,,800 Meters,AARTFC,Men,7
20,"Bujdos, Joe",SO-2,St. Vincent (Pa.),1:55,,,Bison Outdoor Classic,14-Apr-23,,800 Meters,AARTFC,Men,7
21,"Rychkov, Roman",SR-4,TCNJ,1:55,,,Larry Ellis Invitational 2023,14-Apr-23,,800 Meters,AARTFC,Men,7
22,"Szabo, Cameron",SR-4,Cortland St.,1:55,,,Bison Outdoor Classic,14-Apr-23,,800 Meters,AARTFC,Men,7
23,"Seletskiy, Aleksei",SO-2,Carnegie Mellon,1:56,,,Carnegie Mellon Track & Field Invitational,24-Mar-23,,800 Meters,AARTFC,Men,7
24,"Chaikowsky, Matt",SO-2,RIT,1:56,,,RIT Invitational,8-Apr-23,,800 Meters,AARTFC,Men,7
25,"Ford, Daniel",JR-3,Rochester,1:56,,,Brockport Multi & Invitational,14-Apr-23,,800 Meters,AARTFC,Men,7
26,"Wong, Joseph",SR-4,Springfield,1:56,,,SILFEN INVITATIONAL 2023,14-Apr-23,,800 Meters,AARTFC,Men,7
27,"Andrews, Nick",JR-3,SUNY Geneseo,1:56,,,Bison Outdoor Classic,14-Apr-23,,800 Meters,AARTFC,Men,7
28,"Samuels, Richard",SR-4,Cortland St.,1:56,,,Bison Outdoor Classic,14-Apr-23,,800 Meters,AARTFC,Men,7
29,"Wilsoncroft, Nate",SR-4,Cortland St.,1:56,,,Cortland Upstate Alternative,15-Apr-23,,800 Meters,AARTFC,Men,7
30,"Kressly, Thomas",SO-2,Brockport St.,1:56,,,Bison Outdoor Classic,14-Apr-23,,800 Meters,AARTFC,Men,7
31,"Dessalines, Samson",FR-1,Johns Hopkins,1:56,,,2023 Towson Spring Open,31-Mar-23,,800 Meters,AARTFC,Men,7
32,"Fischer, Kevin",SR-4,Brockport St.,1:56,,,RIT Invitational,8-Apr-23,,800 Meters,AARTFC,Men,7
33,"Hsu, Jacob",JR-3,Carnegie Mellon,1:56,,,Carnegie Mellon Track & Field Invitational,24-Mar-23,,800 Meters,AARTFC,Men,7
34,"Kolodziej, Jake",JR-3,Rowan,1:56,,,Oscar Moore Invitational 2023,8-Apr-23,,800 Meters,AARTFC,Men,7
35,"Kettula, John",SO-2,York (Pa.),1:56,,,2023 Danny Curran Invitational,30-Mar-23,,800 Meters,AARTFC,Men,7
36,"Martin, Zach",FR-1,Johns Hopkins,1:57,,,Bison Outdoor Classic,14-Apr-23,,800 Meters,AARTFC,Men,7
37,"Sappe, Chris",FR-1,Hood,1:57,,,Bison Outdoor Classic,14-Apr-23,,800 Meters,AARTFC,Men,7
38,"Coughlin, Joseph",SO-2,RIT,1:57,,,Bison Outdoor Classic,14-Apr-23,,800 Meters,AARTFC,Men,7
39,"Wood, Jackson",JR-3,Carnegie Mellon,1:57,,,Westminster Invitational 2023,8-Apr-23,,800 Meters,AARTFC,Men,7
40,"Bonesteel, Noah",SO-2,Plattsburgh St.,1:57,,,Cortland Red Dragon Open,8-Apr-23,,800 Meters,AARTFC,Men,7
1,"Ardner, Windsor",JR-3,SUNY Geneseo,2:14,,,Bison Outdoor Classic,14-Apr-23,,800 Meters,AARTFC,Women,8
2,"DeMonte, Paloma",SR-4,Ithaca,2:14,,,Bison Outdoor Classic,14-Apr-23,,800 Meters,AARTFC,Women,8
3,"Hogan, Marcie",JR-3,SUNY Geneseo,2:15,,,Bison Outdoor Classic,14-Apr-23,,800 Meters,AARTFC,Women,8
4,"Eivers, Erin",JR-3,SUNY Geneseo,2:15,,,Bison Outdoor Classic,14-Apr-23,,800 Meters,AARTFC,Women,8
5,"Zielinski, Raechel",JR-3,SUNY Geneseo,2:16,,,Bison Outdoor Classic,14-Apr-23,,800 Meters,AARTFC,Women,8
6,"Metz, Jennifer",JR-3,Brockport St.,2:16,,,Bison Outdoor Classic,14-Apr-23,,800 Meters,AARTFC,Women,8
7,"Senthilkumar, Harrinee",FR-1,Johns Hopkins,2:17,,,Bison Outdoor Classic,14-Apr-23,,800 Meters,AARTFC,Women,8
8,"Tummalapalli, Kavya",SR-4,Carnegie Mellon,2:17,,,Bison Outdoor Classic,14-Apr-23,,800 Meters,AARTFC,Women,8
9,"Setton, Mackenzie",FR-1,Johns Hopkins,2:17,,,Bison Outdoor Classic,14-Apr-23,,800 Meters,AARTFC,Women,8
10,"Conhoff, Rachel",JR-3,Ursinus,2:17,,,WCU Golden Ram Invitational,8-Apr-23,,800 Meters,AARTFC,Women,8
11,"Liu, Jacqueline",FR-1,Carnegie Mellon,2:18,,,2023 Carnegie Mellon Last Chance Meet,13-Apr-23,,800 Meters,AARTFC,Women,8
11,"Johnson, Aminata",FR-1,NYU,2:18,,,2023 Colonial Relays,30-Mar-23,,800 Meters,AARTFC,Women,8
13,"Sasse, Anna",SO-2,Rowan,2:18,,,2023 Danny Curran Invitational,30-Mar-23,,800 Meters,AARTFC,Women,8
14,"Uhl, Allison",SR-4,TCNJ,2:18,,,2023 TCNJ Invitational,8-Apr-23,,800 Meters,AARTFC,Women,8
15,"Bunke, Lauren",JR-3,Lebanon Valley,2:18,,,York College Twilight Meet,5-Apr-23,,800 Meters,AARTFC,Women,8
16,"Burden, Nina",SO-2,Stevens,2:18,,,2023 Danny Curran Invitational,30-Mar-23,,800 Meters,AARTFC,Women,8
17,"Arcese, Lorna",FR-1,Johns Hopkins,2:18,,,Bison Outdoor Classic,14-Apr-23,,800 Meters,AARTFC,Women,8
18,"Bruncaj, Eliza",SO-2,TCNJ,2:19,,,2023 Messiah Multi/Invitational,13-Apr-23,,800 Meters,AARTFC,Women,8
19,"Mahood , Nieve",SO-2,SUNY Geneseo,2:19,,,Bison Outdoor Classic,14-Apr-23,,800 Meters,AARTFC,Women,8
20,"Coyle, Faith",SO-2,Oswego State,2:19,,,Bison Outdoor Classic,14-Apr-23,,800 Meters,AARTFC,Women,8
21,"Hanlon, Erin",SO-2,TCNJ,2:19,,,2023 TCNJ Invitational,8-Apr-23,,800 Meters,AARTFC,Women,8
22,"Kass, Kayla",FR-1,Stockton,2:20,,,Osprey Open and Multi,7-Apr-23,,800 Meters,AARTFC,Women,8
23,"Yuan, Mona",SR-4,Carnegie Mellon,2:20,,,Westminster Invitational 2023,8-Apr-23,,800 Meters,AARTFC,Women,8
24,"Doody, Sierra",FR-1,SUNY Geneseo,2:20,,,Bison Outdoor Classic,14-Apr-23,,800 Meters,AARTFC,Women,8
25,"DePhillips, Ella",SR-4,Oneonta,2:20,,,Bison Outdoor Classic,14-Apr-23,,800 Meters,AARTFC,Women,8
26,"Henderson, Sophia",SO-2,Vassar,2:20,,,SILFEN INVITATIONAL 2023,14-Apr-23,,800 Meters,AARTFC,Women,8
27,"Gallagher, Kristin",JR-3,Misericordia,2:20,,,2023 Messiah Multi/Invitational,13-Apr-23,,800 Meters,AARTFC,Women,8
28,"Adams, Brooke",JR-3,Ursinus,2:20,,,2023 Messiah Multi/Invitational,13-Apr-23,,800 Meters,AARTFC,Women,8
29,"O'Grady, Kelly",FR-1,TCNJ,2:21,,,2023 TCNJ Invitational,8-Apr-23,,800 Meters,AARTFC,Women,8
30,"Stockman, Augusta",SR-4,Vassar,2:21,,,SILFEN INVITATIONAL 2023,14-Apr-23,,800 Meters,AARTFC,Women,8
31,"Sibold, Allison",SO-2,St. Lawrence,2:21,,,Bison Outdoor Classic,14-Apr-23,,800 Meters,AARTFC,Women,8
32,"Phillips, Lauren",SO-2,Johns Hopkins,2:21,,,2023 Towson Spring Open,31-Mar-23,,800 Meters,AARTFC,Women,8
33,"Bernotas, Katelyn",SR-4,Widener,2:21,,,WCU Golden Ram Invitational,8-Apr-23,,800 Meters,AARTFC,Women,8
1,"Sikorski, Scott",SR-4,Rochester,3:45,,,Bison Outdoor Classic,14-Apr-23,,1500 Meters,AARTFC,Men,9
2,"Andrews, Nick",JR-3,SUNY Geneseo,3:49,,,Bison Outdoor Classic,14-Apr-23,,1500 Meters,AARTFC,Men,9
3,"McLaughlin, Colin",SO-2,Carnegie Mellon,3:50,,,Bison Outdoor Classic,14-Apr-23,,1500 Meters,AARTFC,Men,9
4,"Zavala, Jonathan",SO-2,Brockport St.,3:50,,,Bison Outdoor Classic,14-Apr-23,,1500 Meters,AARTFC,Men,9
5,"Boyce, Timothy",SO-2,St. Lawrence,3:50,,,Bison Outdoor Classic,14-Apr-23,,1500 Meters,AARTFC,Men,9
6,"Seletskiy, Aleksei",SO-2,Carnegie Mellon,3:50,,,Bison Outdoor Classic,14-Apr-23,,1500 Meters,AARTFC,Men,9
7,"Beyer, Arthur",SR-4,Johns Hopkins,3:51,,,Bison Outdoor Classic,14-Apr-23,,1500 Meters,AARTFC,Men,9
8,"Ruggles, Ezra",JR-3,SUNY Geneseo,3:52,,,RIT Invitational,8-Apr-23,,1500 Meters,AARTFC,Men,9
9,"Chen, Daniel",JR-3,Johns Hopkins,3:53,,,2023 Colonial Relays,30-Mar-23,,1500 Meters,AARTFC,Men,9
10,"Kressly, Thomas",SO-2,Brockport St.,3:54,,,Bison Outdoor Classic,14-Apr-23,,1500 Meters,AARTFC,Men,9
11,"Knorr, Cooper",SR-4,Stockton,3:55,,,Larry Ellis Invitational 2023,14-Apr-23,,1500 Meters,AARTFC,Men,9
12,"Ivanov, Alex",JR-3,Carnegie Mellon,3:56,,,Carnegie Mellon Track & Field Invitational,24-Mar-23,,1500 Meters,AARTFC,Men,9
13,"Riley, Jacob",SO-2,Rowan,3:57,,,Larry Ellis Invitational 2023,14-Apr-23,,1500 Meters,AARTFC,Men,9
14,"Chaikowsky, Matt",SO-2,RIT,3:57,,,Bison Outdoor Classic,14-Apr-23,,1500 Meters,AARTFC,Men,9
15,"Rodriguez, Michael",JR-3,TCNJ,3:57,,,Larry Ellis Invitational 2023,14-Apr-23,,1500 Meters,AARTFC,Men,9
16,"Lanahan, Timothy",JR-3,Scranton,3:57,,,Bison Outdoor Classic,14-Apr-23,,1500 Meters,AARTFC,Men,9
17,"Bierman, Jonthomas",JR-3,Oneonta,3:57,,,Cortland Red Dragon Open,8-Apr-23,,1500 Meters,AARTFC,Men,9
18,"Melao, Ronnie",JR-3,Stevens,3:58,,,Larry Ellis Invitational 2023,14-Apr-23,,1500 Meters,AARTFC,Men,9
19,"Bauman, Nick",JR-3,SUNY Geneseo,3:58,,,RIT Invitational,8-Apr-23,,1500 Meters,AARTFC,Men,9
20,"Buchan, Tim",SO-2,Vassar,3:58,,,Ramapo College Track & Field Invitational,31-Mar-23,,1500 Meters,AARTFC,Men,9
21,"Ackerman, Erik",SO-2,Stockton,3:59,,,Larry Ellis Invitational 2023,14-Apr-23,,1500 Meters,AARTFC,Men,9
22,"Alekson, Charles",SO-2,Union (N.Y.),3:59,,,RPI Under the Lights Invite 2023,14-Apr-23,,1500 Meters,AARTFC,Men,9
23,"Tyce, Carl",SR-4,DeSales,3:59,,,Dr. Jack M. Toms Alumni Invitational,24-Mar-23,,1500 Meters,AARTFC,Men,9
24,"Cassidy, Rowan",FR-1,Johns Hopkins,3:59,,,2023 Colonial Relays,30-Mar-23,,1500 Meters,AARTFC,Men,9
25,"Magana, Jose",SO-2,Vassar,3:59,,,SILFEN INVITATIONAL 2023,14-Apr-23,,1500 Meters,AARTFC,Men,9
26,"Millar, David",JR-3,Widener,3:59,,,WCU Bill Butler Invitational,15-Apr-23,,1500 Meters,AARTFC,Men,9
27,"Szabo, Cameron",SR-4,Cortland St.,4:00,,,Bison Outdoor Classic,14-Apr-23,,1500 Meters,AARTFC,Men,9
28,"Kettula, John",SO-2,York (Pa.),4:00,,,Bison Outdoor Classic,14-Apr-23,,1500 Meters,AARTFC,Men,9
29,"Stefan, Adam",SR-4,Muhlenberg,4:00,,,2023 TCNJ Invitational,8-Apr-23,,1500 Meters,AARTFC,Men,9
30,"Pena, Ryan",FR-1,Ramapo,4:00,,,Ramapo College Track & Field Invitational,31-Mar-23,,1500 Meters,AARTFC,Men,9
31,"Woodward, Ben",SR-4,Rowan,4:00,,,Larry Ellis Invitational 2023,14-Apr-23,,1500 Meters,AARTFC,Men,9
32,"Christensen, Kevin",SR-4,TCNJ,4:00,,,Ramapo College Track & Field Invitational,31-Mar-23,,1500 Meters,AARTFC,Men,9
33,"Bonesteel, Noah",SO-2,Plattsburgh St.,4:00,,,RPI Under the Lights Invite 2023,14-Apr-23,,1500 Meters,AARTFC,Men,9
34,"Cutting, Aidan",SR-4,SUNY Delhi,4:01,,,Bison Outdoor Classic,14-Apr-23,,1500 Meters,AARTFC,Men,9
35,"Flear, Thomas",SO-2,Widener,4:01,,,WCU Bill Butler Invitational,15-Apr-23,,1500 Meters,AARTFC,Men,9
36,"Myers, Andrew",SO-2,Johns Hopkins,4:01,,,Bison Outdoor Classic,14-Apr-23,,1500 Meters,AARTFC,Men,9
37,"Carolan, Patrick",SR-4,Widener,4:01,,,WCU Bill Butler Invitational,15-Apr-23,,1500 Meters,AARTFC,Men,9
38,"McGrath, Tucker",JR-3,Ursinus,4:01,,,Larry Ellis Invitational 2023,14-Apr-23,,1500 Meters,AARTFC,Men,9
39,"Patterson, Tim",SO-2,St. Vincent (Pa.),4:01,,,Bethany Invitational,25-Mar-23,,1500 Meters,AARTFC,Men,9
40,"Taylor, Andy",FR-1,NYU,4:02,,,SILFEN INVITATIONAL 2023,14-Apr-23,,1500 Meters,AARTFC,Men,9
41,"Killip, Sean",JR-3,Brockport St.,4:02,,,RIT Invitational,8-Apr-23,,1500 Meters,AARTFC,Men,9
42,"Coyle, Matthew",SO-2,Carnegie Mellon,4:02,,,Carnegie Mellon Track & Field Invitational,24-Mar-23,,1500 Meters,AARTFC,Men,9
43,"Sech, Elijah",SR-4,Carnegie Mellon,4:02,,,Dave Labor Invitational,31-Mar-23,,1500 Meters,AARTFC,Men,9
1,"Ardner, Windsor",JR-3,SUNY Geneseo,4:31,,,Bison Outdoor Classic,14-Apr-23,,1500 Meters,AARTFC,Women,10
2,"Sibold, Allison",SO-2,St. Lawrence,4:34,,,Bison Outdoor Classic,14-Apr-23,,1500 Meters,AARTFC,Women,10
3,"Hogan, Marcie",JR-3,SUNY Geneseo,4:35,,,Bison Outdoor Classic,14-Apr-23,,1500 Meters,AARTFC,Women,10
4,"Eivers, Erin",JR-3,SUNY Geneseo,4:36,,,Bison Outdoor Classic,14-Apr-23,,1500 Meters,AARTFC,Women,10
5,"Conhoff, Rachel",JR-3,Ursinus,4:36,,,Larry Ellis Invitational 2023,14-Apr-23,,1500 Meters,AARTFC,Women,10
6,"Doody, Sierra",FR-1,SUNY Geneseo,4:36,,,Bison Outdoor Classic,14-Apr-23,,1500 Meters,AARTFC,Women,10
7,"Kane, Vivian",FR-1,NYU,4:37,,,Larry Ellis Invitational 2023,14-Apr-23,,1500 Meters,AARTFC,Women,10
8,"Senthilkumar, Harrinee",FR-1,Johns Hopkins,4:38,,,Bison Outdoor Classic,14-Apr-23,,1500 Meters,AARTFC,Women,10
9,"Seballos , Kristen",SR-4,Carnegie Mellon,4:39,,,Bison Outdoor Classic,14-Apr-23,,1500 Meters,AARTFC,Women,10
10,"Setton, Mackenzie",FR-1,Johns Hopkins,4:41,,,Bison Outdoor Classic,14-Apr-23,,1500 Meters,AARTFC,Women,10
11,"Burrichter, Amanda",FR-1,Houghton,4:43,,,Bison Outdoor Classic,14-Apr-23,,1500 Meters,AARTFC,Women,10
12,"Bunke, Lauren",JR-3,Lebanon Valley,4:43,,,Bison Outdoor Classic,14-Apr-23,,1500 Meters,AARTFC,Women,10
13,"Smith, Grace",SO-2,Grove City,4:43,,,Tomcat Invitational,15-Apr-23,,1500 Meters,AARTFC,Women,10
14,"Zielinski, Raechel",JR-3,SUNY Geneseo,4:43,,,Geneseo Early Season Invitational,2-Apr-23,,1500 Meters,AARTFC,Women,10
15,"Stockman, Augusta",SR-4,Vassar,4:44,,,SILFEN INVITATIONAL 2023,14-Apr-23,,1500 Meters,AARTFC,Women,10
16,"Sasse, Anna",SO-2,Rowan,4:44,,,Oscar Moore Invitational 2023,8-Apr-23,,1500 Meters,AARTFC,Women,10
17,"Catalano, Adriana",FR-1,Johns Hopkins,4:45,,,2023 Colonial Relays,30-Mar-23,,1500 Meters,AARTFC,Women,10
18,"Carter, Kallan",SR-4,Susquehanna,4:45,,,2023 Danny Curran Invitational,30-Mar-23,,1500 Meters,AARTFC,Women,10
19,"Nye, Gabriella",FR-1,Widener,4:45,,,Bison Outdoor Classic,14-Apr-23,,1500 Meters,AARTFC,Women,10
20,"Smith, Amelia",SR-4,DeSales,4:45,,,2023 Messiah Multi/Invitational,13-Apr-23,,1500 Meters,AARTFC,Women,10
21,"Hirschkind, Rachel",JR-3,SUNY Geneseo,4:46,,,RIT Invitational,8-Apr-23,,1500 Meters,AARTFC,Women,10
22,"Sawosik, Camille",SR-4,Johns Hopkins,4:47,,,Bison Outdoor Classic,14-Apr-23,,1500 Meters,AARTFC,Women,10
23,"Schoener, Katelyn",JR-3,Alvernia,4:47,,,Bison Outdoor Classic,14-Apr-23,,1500 Meters,AARTFC,Women,10
24,"Hoffmann, Samantha",SO-2,Scranton,4:48,,,Bison Outdoor Classic,14-Apr-23,,1500 Meters,AARTFC,Women,10
25,"DeMonte, Paloma",SR-4,Ithaca,4:48,,,Muhlenberg Outdoor Invitational,1-Apr-23,,1500 Meters,AARTFC,Women,10
26,"Pardew, Isabelle",SR-4,Stevenson,4:49,,,York College Twilight Meet,5-Apr-23,,1500 Meters,AARTFC,Women,10
27,"Naudus, Marie",SO-2,SUNY Geneseo,4:49,,,Bison Outdoor Classic,14-Apr-23,,1500 Meters,AARTFC,Women,10
28,"Gladden, Stella",FR-1,NYU,4:49,,,27th Annual Monmouth University Track & Field Season Opener,24-Mar-23,,1500 Meters,AARTFC,Women,10
29,"Diaz, Isis",FR-1,Johns Hopkins,4:49,,,George Mason Ebanks Invitational,7-Apr-23,,1500 Meters,AARTFC,Women,10
30,"Cheng, Katherine",SO-2,NYU,4:49,,,2023 Colonial Relays,30-Mar-23,,1500 Meters,AARTFC,Women,10
31,"Metz, Jennifer",JR-3,Brockport St.,4:49,,,Bison Outdoor Classic,14-Apr-23,,1500 Meters,AARTFC,Women,10
32,"Zaugg, Suzanne",JR-3,Ramapo,4:49,,,Mets Outdoor Track & Field Championships,8-Apr-23,,1500 Meters,AARTFC,Women,10
33,"Dacey, Catherine",SO-2,Union (N.Y.),4:50,,,Vassar April Invitational 2023,7-Apr-23,,1500 Meters,AARTFC,Women,10
34,"Greene, Penelope",SO-2,SUNY Geneseo,4:50,,,RIT Invitational,8-Apr-23,,1500 Meters,AARTFC,Women,10
35,"Grossman, Kaitlyn",SO-2,SUNY Geneseo,4:50,,,Geneseo Early Season Invitational,2-Apr-23,,1500 Meters,AARTFC,Women,10
35,"Fowler-Conner, Lilly",SO-2,SUNY Geneseo,4:50,,,RIT Invitational,8-Apr-23,,1500 Meters,AARTFC,Women,10
37,"Chambers, Holly",JR-3,Ursinus,4:50,,,Larry Ellis Invitational 2023,14-Apr-23,,1500 Meters,AARTFC,Women,10
38,"Kyle, Kristina",FR-1,Springfield,4:50,,,SILFEN INVITATIONAL 2023,14-Apr-23,,1500 Meters,AARTFC,Women,10
39,"Tummalapalli, Kavya",SR-4,Carnegie Mellon,4:51,,,Washington & Lee Carnival,17-Mar-23,,1500 Meters,AARTFC,Women,10
40,"Nola, Olivia",SO-2,PSU-Behrend,4:51,,,Behrend Track and Field Invite 2023,16-Apr-23,,1500 Meters,AARTFC,Women,10
41,"Healy, Margaret Ann",FR-1,Carnegie Mellon,4:51,,,Washington & Lee Carnival,17-Mar-23,,1500 Meters,AARTFC,Women,10
42,"Cooper, Janie",FR-1,NYU,4:51,,,SILFEN INVITATIONAL 2023,14-Apr-23,,1500 Meters,AARTFC,Women,10
43,"McCarthy, Gabriella",SO-2,SUNY Geneseo,4:51,,,RIT Invitational,8-Apr-23,,1500 Meters,AARTFC,Women,10
44,"Bernotas, Katelyn",SR-4,Widener,4:51,,,Bison Outdoor Classic,14-Apr-23,,1500 Meters,AARTFC,Women,10
45,"Liu, Jacqueline",FR-1,Carnegie Mellon,4:52,,,Washington & Lee Carnival,17-Mar-23,,1500 Meters,AARTFC,Women,10
46,"DePhillips, Ella",SR-4,Oneonta,4:52,,,Bison Outdoor Classic,14-Apr-23,,1500 Meters,AARTFC,Women,10
47,"Sheth, Lily",SO-2,Johns Hopkins,4:52,,,George Mason Ebanks Invitational,7-Apr-23,,1500 Meters,AARTFC,Women,10
48,"Yuan, Mona",SR-4,Carnegie Mellon,4:52,,,Washington & Lee Carnival,17-Mar-23,,1500 Meters,AARTFC,Women,10
49,"Hoegler, Emily",SO-2,TCNJ,4:52,,,Ramapo College Track & Field Invitational,31-Mar-23,,1500 Meters,AARTFC,Women,10
50,"Callahan, Aisling",FR-1,Johns Hopkins,4:53,,,George Mason Ebanks Invitational,7-Apr-23,,1500 Meters,AARTFC,Women,10
51,"Sweely, Jaden",SO-2,Widener,4:53,,,Bison Outdoor Classic,14-Apr-23,,1500 Meters,AARTFC,Women,10
52,"Haley, Leah",SR-4,NYU,4:53,,,2023 Colonial Relays,30-Mar-23,,1500 Meters,AARTFC,Women,10
53,"LaChapelle, Brenna",SR-4,Springfield,4:54,,,SILFEN INVITATIONAL 2023,14-Apr-23,,1500 Meters,AARTFC,Women,10
54,"Danieu, Sierra",SO-2,RIT,4:54,,,Bison Outdoor Classic,14-Apr-23,,1500 Meters,AARTFC,Women,10
1,"McElhennon, Gavin",SO-2,Johns Hopkins,14:17,,,Bison Outdoor Classic,14-Apr-23,,5000 Meters,AARTFC,Men,11
2,"Li, Tommy",SO-2,Johns Hopkins,14:29,,,Bison Outdoor Classic,14-Apr-23,,5000 Meters,AARTFC,Men,11
3,"Tobin, Ryan",SO-2,NYU,14:32,,,Larry Ellis Invitational 2023,14-Apr-23,,5000 Meters,AARTFC,Men,11
4,"Kleiman, Matthew",JR-3,Johns Hopkins,14:39,,,Bison Outdoor Classic,14-Apr-23,,5000 Meters,AARTFC,Men,11
