Rank,Athlete(s),Year,Team,Time_Distance_Points,Meet,Meet Date,Wind,Event,Conference,Gender
25,"Jones, Elizabeth",SO-2,Elmhurst,02:36.2,Illinois College True Blue Invite,7-Apr-23,NaN,800 Meters,CCIW,Women
1,"Riss, Connor",JR-3,North Central (Ill.),03:51.6,Wash U Distance Carnival Saturday 2023,1-Apr-23,NaN,1500 Meters,CCIW,Men
2,"Higueros, Julian",JR-3,North Central (Ill.),03:55.1,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,1500 Meters,CCIW,Men
3,"Bridgman, Austin",JR-3,Millikin,03:55.5,Wash U Distance Carnival Saturday 2023,1-Apr-23,NaN,1500 Meters,CCIW,Men
4,"Tanttu, Logan",JR-3,North Central (Ill.),03:56.6,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,1500 Meters,CCIW,Men
5,"Upmann, Chase",JR-3,Carthage,03:57.2,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,1500 Meters,CCIW,Men
6,"Svienty, Max",JR-3,North Central (Ill.),03:58.2,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,1500 Meters,CCIW,Men
7,"Nielsen, Gage",SO-2,North Central (Ill.),03:58.5,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,1500 Meters,CCIW,Men
8,"Elsen, Sam",JR-3,Wheaton (Ill.),04:00.0,Wheaton Invitational 2023,14-Apr-23,NaN,1500 Meters,CCIW,Men
9,"Hoffman, Lucas",SO-2,North Central (Ill.),04:00.3,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,1500 Meters,CCIW,Men
10,"Adams, Kyle",SR-4,Carroll (Wis.),04:02.2,Beloit Relays,15-Apr-23,NaN,1500 Meters,CCIW,Men
11,"Shumaker, Jake",SO-2,Millikin,04:02.3,Wash U 5 Way,25-Mar-23,NaN,1500 Meters,CCIW,Men
12,"Olmstead, Bradyn",SO-2,Millikin,04:03.7,Illinois College True Blue Invite,7-Apr-23,NaN,1500 Meters,CCIW,Men
13,"Langridge, Joe",SO-2,Augustana (Ill.),04:04.0,Rex Foster Twilight,7-Apr-23,NaN,1500 Meters,CCIW,Men
14,"Anderson, Micah",SO-2,Carthage,04:08.0,Wisconsin Private College Championships,2-Apr-23,NaN,1500 Meters,CCIW,Men
15,"Swanson, Trevor",SO-2,Carthage,04:09.6,Wheaton Invitational 2023,14-Apr-23,NaN,1500 Meters,CCIW,Men
16,"Moran, Dylan",SO-2,Elmhurst,04:09.7,Wheaton Invitational 2023,14-Apr-23,NaN,1500 Meters,CCIW,Men
17,"Skaggs, Christian",SO-2,Millikin,04:09.7,Illinois College True Blue Invite,7-Apr-23,NaN,1500 Meters,CCIW,Men
18,"Cross, Ryan",SR-4,Wheaton (Ill.),04:09.8,Wheaton Invitational 2023,14-Apr-23,NaN,1500 Meters,CCIW,Men
19,"Rohr, Thomas",SR-4,North Central (Ill.),04:10.2,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,1500 Meters,CCIW,Men
20,"Mattsey, Brandon",SO-2,Millikin,04:10.4,Illinois College True Blue Invite,7-Apr-23,NaN,1500 Meters,CCIW,Men
21,"Armstrong, Aidan",FR-1,North Central (Ill.),04:10.4,Wheaton Invitational 2023,14-Apr-23,NaN,1500 Meters,CCIW,Men
22,"Nofziger, Kyle",FR-1,North Central (Ill.),04:10.5,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,1500 Meters,CCIW,Men
23,"Daniel, Zack",FR-1,Illinois Wesleyan,04:10.9,Wheaton Invitational 2023,14-Apr-23,NaN,1500 Meters,CCIW,Men
24,"Kirsteatter, Spencer",JR-3,Carroll (Wis.),04:12.6,Rex Foster Twilight,7-Apr-23,NaN,1500 Meters,CCIW,Men
25,"Barber, Michael",SO-2,Carthage,04:13.1,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,1500 Meters,CCIW,Men
1,"Rafuse, Alyssa",SR-4,Elmhurst,04:36.2,2023 Bryan Clay Invitational,13-Apr-23,NaN,1500 Meters,CCIW,Women
2,"Ruiz, Alyssa",SO-2,Millikin,04:37.3,Wash U Distance Carnival Saturday 2023,1-Apr-23,NaN,1500 Meters,CCIW,Women
3,"Bennett, Susannah",SR-4,Wheaton (Ill.),04:50.5,Wheaton Invitational 2023,14-Apr-23,NaN,1500 Meters,CCIW,Women
4,"Crabtree, Adriana",FR-1,Illinois Wesleyan,04:52.9,Wheaton Invitational 2023,14-Apr-23,NaN,1500 Meters,CCIW,Women
5,"Chudy, Annalese",SO-2,Illinois Wesleyan,04:53.0,Wheaton Invitational 2023,14-Apr-23,NaN,1500 Meters,CCIW,Women
6,"Clark, Hope",JR-3,Wheaton (Ill.),04:55.7,Wheaton Invitational 2023,14-Apr-23,NaN,1500 Meters,CCIW,Women
7,"Smith, Katelyn",SR-4,Carthage,04:57.5,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,1500 Meters,CCIW,Women
8,"Boardman, Anna",JR-3,Augustana (Ill.),04:58.0,Rex Foster Twilight,7-Apr-23,NaN,1500 Meters,CCIW,Women
9,"Smith, Kylie",SO-2,Carthage,04:58.4,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,1500 Meters,CCIW,Women
10,"Mallory, Emma",FR-1,Millikin,04:58.8,Greenville College Select Meet,15-Apr-23,NaN,1500 Meters,CCIW,Women
11,"Brown, Esther",SO-2,Elmhurst,04:59.9,Illinois College True Blue Invite,7-Apr-23,NaN,1500 Meters,CCIW,Women
12,"Lotz, Kara",SR-4,Augustana (Ill.),05:02.9,Rex Foster Twilight,7-Apr-23,NaN,1500 Meters,CCIW,Women
13,"Naddy, Callin",SR-4,North Central (Ill.),05:03.5,Wheaton Invitational 2023,14-Apr-23,NaN,1500 Meters,CCIW,Women
14,"Benes, Julia",SO-2,North Central (Ill.),05:04.9,Wheaton Invitational 2023,14-Apr-23,NaN,1500 Meters,CCIW,Women
15,"McGrath, Emma",SO-2,Illinois Wesleyan,05:05.4,Wabash College Huntsman Family Invite 2023,8-Apr-23,NaN,1500 Meters,CCIW,Women
16,"Smeed, Bethany",FR-1,North Central (Ill.),05:06.3,Spartan Opener,2-Apr-23,NaN,1500 Meters,CCIW,Women
17,"Brorson, Louisa",FR-1,Wheaton (Ill.),05:06.6,Wheaton Invitational 2023,14-Apr-23,NaN,1500 Meters,CCIW,Women
18,"Mussey, Emmy",SR-4,North Central (Ill.),05:07.1,Wheaton Invitational 2023,14-Apr-23,NaN,1500 Meters,CCIW,Women
19,"Odle, Emma",JR-3,Augustana (Ill.),05:08.3,Rex Foster Twilight,7-Apr-23,NaN,1500 Meters,CCIW,Women
20,"Conrad, Natalie",SO-2,Wheaton (Ill.),05:09.1,Wheaton Invitational 2023,14-Apr-23,NaN,1500 Meters,CCIW,Women
21,"Reddeman, Elizabeth",JR-3,Carroll (Wis.),05:09.7,St. Norbert Twilight,6-Apr-23,NaN,1500 Meters,CCIW,Women
22,"De La Cruz , Casey",JR-3,Augustana (Ill.),05:10.0,Wheaton Invitational 2023,14-Apr-23,NaN,1500 Meters,CCIW,Women
23,"Daghfal, Ruth",SR-4,Wheaton (Ill.),05:11.8,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,1500 Meters,CCIW,Women
24,"Buboltz, Rebekah",FR-1,Carroll (Wis.),05:12.0,Wisconsin Private College Championships,2-Apr-23,NaN,1500 Meters,CCIW,Women
25,"Bieda, Annie",SO-2,Elmhurst,05:12.1,Wheaton Invitational 2023,14-Apr-23,NaN,1500 Meters,CCIW,Women
1,"Svienty, Max",JR-3,North Central (Ill.),13:59.8,UW-Platteville Invitational,14-Apr-23,NaN,5000 Meters,CCIW,Men
2,"Nicholson, Braden",SR-4,North Central (Ill.),14:06.1,UW-Platteville Invitational,14-Apr-23,NaN,5000 Meters,CCIW,Men
3,"Riss, Connor",JR-3,North Central (Ill.),14:10.0,UW-Platteville Invitational,14-Apr-23,NaN,5000 Meters,CCIW,Men
4,"Guimond, Andrew",SR-4,North Central (Ill.),14:19.8,UW-Platteville Invitational,14-Apr-23,NaN,5000 Meters,CCIW,Men
5,"Higueros, Julian",JR-3,North Central (Ill.),14:26.7,UW-Platteville Invitational,14-Apr-23,NaN,5000 Meters,CCIW,Men
6,"Rohr, Thomas",SR-4,North Central (Ill.),14:51.0,UW-Platteville Invitational,14-Apr-23,NaN,5000 Meters,CCIW,Men
7,"Hoffmann, Luke",SO-2,North Central (Ill.),15:04.4,UW-Platteville Invitational,14-Apr-23,NaN,5000 Meters,CCIW,Men
8,"Olmstead, Bradyn",SO-2,Millikin,15:07.7,Greenville College Select Meet,15-Apr-23,NaN,5000 Meters,CCIW,Men
9,"Patel, Ishaan",JR-3,North Central (Ill.),15:15.1,UW-Platteville Invitational,14-Apr-23,NaN,5000 Meters,CCIW,Men
10,"Halbrader, Nathan",SO-2,North Central (Ill.),15:15.5,UW-Platteville Invitational,14-Apr-23,NaN,5000 Meters,CCIW,Men
11,"Nofziger, Kyle",FR-1,North Central (Ill.),15:17.2,UW-Platteville Invitational,14-Apr-23,NaN,5000 Meters,CCIW,Men
12,"Adams, Kyle",SR-4,Carroll (Wis.),15:22.2,Wisconsin Private College Championships,2-Apr-23,NaN,5000 Meters,CCIW,Men
13,"Kirsteatter, Spencer",JR-3,Carroll (Wis.),15:22.3,Wisconsin Private College Championships,2-Apr-23,NaN,5000 Meters,CCIW,Men
14,"Olenek, Jonathan",JR-3,North Central (Ill.),15:24.3,UW-Platteville Invitational,14-Apr-23,NaN,5000 Meters,CCIW,Men
15,"Gibson, Nathan",JR-3,Wheaton (Ill.),15:25.2,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,5000 Meters,CCIW,Men
16,"Kelly, Clark",JR-3,North Central (Ill.),15:25.4,UW-Platteville Invitational,14-Apr-23,NaN,5000 Meters,CCIW,Men
17,"Schaefer, Logan",SR-4,North Central (Ill.),15:26.9,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,5000 Meters,CCIW,Men
18,"Cross, Ryan",SR-4,Wheaton (Ill.),15:30.8,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,5000 Meters,CCIW,Men
19,"Carty, Peter",FR-1,Carroll (Wis.),15:35.4,Wisconsin Private College Championships,2-Apr-23,NaN,5000 Meters,CCIW,Men
20,"Sanaghan, Sean",JR-3,North Park,15:40.0,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,5000 Meters,CCIW,Men
21,"Langridge, Joe",SO-2,Augustana (Ill.),15:41.5,Wartburg Outdoor Select,1-Apr-23,NaN,5000 Meters,CCIW,Men
22,"Daniel, Zack",FR-1,Illinois Wesleyan,15:43.7,Wabash College Huntsman Family Invite 2023,8-Apr-23,NaN,5000 Meters,CCIW,Men
23,"Ackard, Grant",SO-2,Augustana (Ill.),15:43.8,Wartburg Outdoor Select,1-Apr-23,NaN,5000 Meters,CCIW,Men
24,"Ham, Gabriel",FR-1,North Central (Ill.),15:44.9,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,5000 Meters,CCIW,Men
25,"Swanson, Trevor",SO-2,Carthage,15:45.0,Wisconsin Private College Championships,2-Apr-23,NaN,5000 Meters,CCIW,Men
1,"Bennett, Susannah",SR-4,Wheaton (Ill.),17:32.9,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,5000 Meters,CCIW,Women
2,"Chudy, Annalese",SO-2,Illinois Wesleyan,17:50.1,Wabash College Huntsman Family Invite 2023,8-Apr-23,NaN,5000 Meters,CCIW,Women
3,"Clark, Hope",JR-3,Wheaton (Ill.),18:09.0,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,5000 Meters,CCIW,Women
4,"Miazek, Patrycja",SR-4,North Park,18:16.5,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,5000 Meters,CCIW,Women
5,"Smith, Kylie",SO-2,Carthage,18:23.0,Wisconsin Private College Championships,2-Apr-23,NaN,5000 Meters,CCIW,Women
6,"Brorson, Louisa",FR-1,Wheaton (Ill.),18:40.9,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,5000 Meters,CCIW,Women
7,"Boardman , Anna",JR-3,Augustana (Ill.),18:45.4,Wartburg Outdoor Select,1-Apr-23,NaN,5000 Meters,CCIW,Women
8,"Collings, Quincy",SO-2,Millikin,18:48.0,Illinois College True Blue Invite,7-Apr-23,NaN,5000 Meters,CCIW,Women
9,"Hulick, Elizabeth",SO-2,Millikin,18:49.2,Illinois College True Blue Invite,7-Apr-23,NaN,5000 Meters,CCIW,Women
10,"Reddeman, Elizabeth",JR-3,Carroll (Wis.),18:57.6,Wisconsin Private College Championships,2-Apr-23,NaN,5000 Meters,CCIW,Women
11,"O'Malley, Hailey",SR-4,Millikin,19:03.8,2023 Millikin Alumni Invite,1-Apr-23,NaN,5000 Meters,CCIW,Women
12,"Bieda, Annie",SO-2,Elmhurst,19:17.0,Illinois College True Blue Invite,7-Apr-23,NaN,5000 Meters,CCIW,Women
13,"Smith, Katelyn",SR-4,Carthage,19:17.9,Wheaton Invitational 2023,14-Apr-23,NaN,5000 Meters,CCIW,Women
14,"Quintanilla, Sarah",FR-1,Wheaton (Ill.),19:31.6,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,5000 Meters,CCIW,Women
15,"DeFarno, Ellie",FR-1,Augustana (Ill.),19:34.3,Wartburg Outdoor Select,1-Apr-23,NaN,5000 Meters,CCIW,Women
16,"Benes, Julia",SO-2,North Central (Ill.),19:41.5,Spartan Opener,2-Apr-23,NaN,5000 Meters,CCIW,Women
17,"Kern, Paige",SR-4,Augustana (Ill.),19:42.1,Wartburg Outdoor Select,1-Apr-23,NaN,5000 Meters,CCIW,Women
18,"Glover, Molly",SO-2,Elmhurst,19:47.2,Illinois College True Blue Invite,7-Apr-23,NaN,5000 Meters,CCIW,Women
19,"Smeed, Bethany",FR-1,North Central (Ill.),19:51.7,Spartan Opener,2-Apr-23,NaN,5000 Meters,CCIW,Women
20,"Murphy, Shannon",FR-1,Illinois Wesleyan,20:02.5,Wheaton Invitational 2023,14-Apr-23,NaN,5000 Meters,CCIW,Women
21,"Yacoub, Tala",SO-2,Elmhurst,20:08.2,Illinois College True Blue Invite,7-Apr-23,NaN,5000 Meters,CCIW,Women
22,"Wagner, Natalie",SO-2,Elmhurst,20:23.6,Illinois College True Blue Invite,7-Apr-23,NaN,5000 Meters,CCIW,Women
23,"Runkle, Paige",SO-2,North Central (Ill.),20:33.7,Spartan Opener,2-Apr-23,NaN,5000 Meters,CCIW,Women
24,"Rivas, Alexis",SO-2,Elmhurst,21:04.8,Illinois College True Blue Invite,7-Apr-23,NaN,5000 Meters,CCIW,Women
25,"Jerbi, Katie",FR-1,Carthage,21:06.6,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,5000 Meters,CCIW,Women
1,"Svienty, Max",JR-3,North Central (Ill.),29:14.3,Wash U Distance Carnival Saturday 2023,1-Apr-23,NaN,"10,000 Meters",CCIW,Men
2,"Guimond, Andrew",SR-4,North Central (Ill.),29:37.2,Wash U Distance Carnival Saturday 2023,1-Apr-23,NaN,"10,000 Meters",CCIW,Men
3,"Nicholson, Braden",SR-4,North Central (Ill.),29:46.9,Wash U Distance Carnival Saturday 2023,1-Apr-23,NaN,"10,000 Meters",CCIW,Men
4,"Higueros, Julian",JR-3,North Central (Ill.),30:10.3,Wash U Distance Carnival Saturday 2023,1-Apr-23,NaN,"10,000 Meters",CCIW,Men
5,"Rohr, Thomas",SR-4,North Central (Ill.),30:46.2,Wash U Distance Carnival Saturday 2023,1-Apr-23,NaN,"10,000 Meters",CCIW,Men
6,"Nofziger, Kyle",FR-1,North Central (Ill.),30:51.9,Wash U Distance Carnival Saturday 2023,1-Apr-23,NaN,"10,000 Meters",CCIW,Men
7,"Olenek, Jonathan",JR-3,North Central (Ill.),31:11.7,Wash U Distance Carnival Saturday 2023,1-Apr-23,NaN,"10,000 Meters",CCIW,Men
8,"Hoffmann, Luke",SO-2,North Central (Ill.),31:25.3,Wash U Distance Carnival Saturday 2023,1-Apr-23,NaN,"10,000 Meters",CCIW,Men
9,"Patel, Ishaan",JR-3,North Central (Ill.),31:52.9,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,"10,000 Meters",CCIW,Men
10,"Kelly, Clark",JR-3,North Central (Ill.),32:16.7,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,"10,000 Meters",CCIW,Men
11,"Swanson, Trevor",SO-2,Carthage,32:28.6,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,"10,000 Meters",CCIW,Men
12,"Emrath, Austin",JR-3,North Central (Ill.),32:30.8,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,"10,000 Meters",CCIW,Men
13,"Walker, Ethan",SO-2,Carthage,32:32.6,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,"10,000 Meters",CCIW,Men
14,"Perez, Andres",FR-1,North Central (Ill.),32:44.5,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,"10,000 Meters",CCIW,Men
15,"Olmstead, Bradyn",SO-2,Millikin,32:44.7,Wash U Distance Carnival Friday Night,31-Mar-23,NaN,"10,000 Meters",CCIW,Men
16,"Cerwin, Luke",FR-1,North Central (Ill.),32:56.6,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,"10,000 Meters",CCIW,Men
17,"Wertz, Luke",FR-1,Wheaton (Ill.),33:10.8,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,"10,000 Meters",CCIW,Men
18,"McManaman, Patrick",JR-3,Carthage,33:40.2,Wisconsin Private College Championships,2-Apr-23,NaN,"10,000 Meters",CCIW,Men
19,"Sneller, Ian",SR-4,Wheaton (Ill.),33:55.7,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,"10,000 Meters",CCIW,Men
20,"Ewald, Ben",SO-2,Carthage,34:06.6,Wisconsin Private College Championships,2-Apr-23,NaN,"10,000 Meters",CCIW,Men
21,"Kruse, Alden",SO-2,Wheaton (Ill.),34:19.2,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,"10,000 Meters",CCIW,Men
22,"Doerge, Jacob",FR-1,North Central (Ill.),34:32.3,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,"10,000 Meters",CCIW,Men
23,"Monroe, Edwin",FR-1,Millikin,34:36.8,Wash U Distance Carnival Friday Night,31-Mar-23,NaN,"10,000 Meters",CCIW,Men
24,"Dayton, Derek",SO-2,Millikin,37:49.6,Wash U Distance Carnival Friday Night,31-Mar-23,NaN,"10,000 Meters",CCIW,Men
1,"Smith, Katelyn",SR-4,Carthage,38:07.5,Wisconsin Private College Championships,2-Apr-23,NaN,"10,000 Meters",CCIW,Women
2,"Miazek, Patrycja",SR-4,North Park,38:26.9,Beach Invitational 2023,14-Apr-23,NaN,"10,000 Meters",CCIW,Women
3,"Benes, Julia",SO-2,North Central (Ill.),39:40.5,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,"10,000 Meters",CCIW,Women
1,"Babinec, Julia",SR-4,North Central (Ill.),14.15,NCC 1st Chance Invitational - 2023,7-Apr-23,1.8,100 Hurdles,CCIW,Women
2,"Nadeau, Nakala",SO-2,Elmhurst,14.22,Cal State LA Twilight - College/University,12-Apr-23,0.6,100 Hurdles,CCIW,Women
3,"Partee, Denise",JR-3,North Central (Ill.),14.32,Cal State LA Twilight - College/University,12-Apr-23,0.6,100 Hurdles,CCIW,Women
4,"Quinn, Mary",JR-3,Carroll (Wis.),15,Rex Foster Twilight,7-Apr-23,2.2,100 Hurdles,CCIW,Women
5,"Keane, Amy",SR-4,Wheaton (Ill.),15.28,Wheaton Invitational 2023,14-Apr-23,0,100 Hurdles,CCIW,Women
6,"Hagler, Marissa",SO-2,Illinois Wesleyan,15.63,Wabash College Huntsman Family Invite 2023,8-Apr-23,2,100 Hurdles,CCIW,Women
7,"Morrow, Madison",JR-3,Augustana (Ill.),16.28,Rex Foster Twilight,7-Apr-23,2.2,100 Hurdles,CCIW,Women
8,"Ladin, Faith",JR-3,North Central (Ill.),16.36,Spartan Opener,2-Apr-23,2.7,100 Hurdles,CCIW,Women
9,"Miller, Esther",SR-4,North Park,16.48,2023 Bryan Clay Invitational,13-Apr-23,0.7,100 Hurdles,CCIW,Women
9,"Mazzenga, Alexis",SO-2,North Central (Ill.),16.48,Wheaton Invitational 2023,14-Apr-23,-0.8,100 Hurdles,CCIW,Women
11,"Oelke, Lauren",SO-2,Augustana (Ill.),16.53,Rex Foster Twilight,7-Apr-23,2.2,100 Hurdles,CCIW,Women
12,"Jones, Hannah",JR-3,North Central (Ill.),16.61,Spartan Opener,2-Apr-23,3.1,100 Hurdles,CCIW,Women
13,"Gum, Abi",SR-4,Wheaton (Ill.),17.46,Wheaton Invitational 2023,14-Apr-23,0,100 Hurdles,CCIW,Women
14,"Brown, Holly",JR-3,Wheaton (Ill.),17.51,Wheaton Invitational 2023,14-Apr-23,-0.8,100 Hurdles,CCIW,Women
15,"Marrs, Sara",SR-4,Augustana (Ill.),17.58,Wartburg Outdoor Select,1-Apr-23,3.1,100 Hurdles,CCIW,Women
16,"Coyle, Audrey",SR-4,Wheaton (Ill.),17.59,NCC 1st Chance Invitational - 2023,7-Apr-23,1.2,100 Hurdles,CCIW,Women
17,"Maragni, Maddie",FR-1,Millikin,18.06,Greenville College Select Meet,15-Apr-23,0.8,100 Hurdles,CCIW,Women
18,"Decker, Annie",FR-1,Millikin,18.23,Wash U 5 Way,25-Mar-23,1.6,100 Hurdles,CCIW,Women
19,"Wagner, Katie",SO-2,North Central (Ill.),18.33,Spartan Opener,2-Apr-23,3.1,100 Hurdles,CCIW,Women
20,"Eaton, Claire",JR-3,North Central (Ill.),18.38,Spartan Opener,2-Apr-23,2.7,100 Hurdles,CCIW,Women
21,"Klein, Julia",FR-1,North Park,18.54,Wheaton Invitational 2023,14-Apr-23,-0.2,100 Hurdles,CCIW,Women
22,"Johnston, Teagan",SO-2,Carthage,19.36,Wheaton Invitational 2023,14-Apr-23,-0.2,100 Hurdles,CCIW,Women
23,"Mineo, Emilie",JR-3,Millikin,19.92,Illinois College True Blue Invite,7-Apr-23,-1.3,100 Hurdles,CCIW,Women
24,"Krzykowski, Savannah",SO-2,Carroll (Wis.),20.28,Wisconsin Private College Championships,2-Apr-23,1.6,100 Hurdles,CCIW,Women
1,"Marra, Peter",JR-3,Carroll (Wis.),14.96,Beloit Relays,15-Apr-23,3,110 Hurdles,CCIW,Men
2,"Nwatu, Emmanuel",FR-1,Millikin,15,Wash U 5 Way,25-Mar-23,1.3,110 Hurdles,CCIW,Men
3,"Clausen, Isaiah",SR-4,Wheaton (Ill.),15.22,Gibson Invitational & Multis,13-Apr-23,2.5,110 Hurdles,CCIW,Men
4,"Mogged, Bobby",FR-1,Illinois Wesleyan,15.61,Wheaton Invitational 2023,14-Apr-23,0.5,110 Hurdles,CCIW,Men
5,"Giller, Jediah",JR-3,Wheaton (Ill.),15.77,NCC 1st Chance Invitational - 2023,7-Apr-23,1.1,110 Hurdles,CCIW,Men
6,"Lasack, Dayton",FR-1,Millikin,15.91,Wash U 5 Way,25-Mar-23,1.3,110 Hurdles,CCIW,Men
7,"Jandura, Eric",SO-2,Elmhurst,16.44,Wheaton Invitational 2023,14-Apr-23,1,110 Hurdles,CCIW,Men
8,"Hoadley, Dalton",SO-2,Millikin,16.51,Illinois College True Blue Invite,7-Apr-23,0.8,110 Hurdles,CCIW,Men
9,"Gabrys, Ethan",FR-1,Augustana (Ill.),16.78,Wartburg Outdoor Select,1-Apr-23,3.2,110 Hurdles,CCIW,Men
10,"Nguy, Davis",SR-4,Illinois Wesleyan,17.15,Wabash College Huntsman Family Invite 2023,8-Apr-23,1.8,110 Hurdles,CCIW,Men
11,"Kromwell, Ubaydullah",SO-2,North Park,17.16,NCC 1st Chance Invitational - 2023,7-Apr-23,1.7,110 Hurdles,CCIW,Men
12,"McNamara, TJ",SO-2,Elmhurst,17.42,Wheaton Invitational 2023,14-Apr-23,1,110 Hurdles,CCIW,Men
13,"Williams, Nathaniel",FR-1,North Central (Ill.),17.91,NCC 1st Chance Invitational - 2023,7-Apr-23,1.7,110 Hurdles,CCIW,Men
14,"Fisher, Quenten",SO-2,Illinois Wesleyan,18.74,Wheaton Invitational 2023,14-Apr-23,0,110 Hurdles,CCIW,Men
15,"Ahlberg, Jacob",SO-2,North Central (Ill.),19.1,Wheaton Invitational 2023,14-Apr-23,1,110 Hurdles,CCIW,Men
16,"Klein, Josh",SO-2,Illinois Wesleyan,19.63,Wabash College Huntsman Family Invite 2023,8-Apr-23,1.4,110 Hurdles,CCIW,Men
17,"Elder, Ashtin",FR-1,Illinois Wesleyan,20.03,Wheaton Invitational 2023,14-Apr-23,0,110 Hurdles,CCIW,Men
1,"Odell, Eli",SR-4,Wheaton (Ill.),54.3,Wheaton Invitational 2023,14-Apr-23,NaN,400 Hurdles,CCIW,Men
2,"Lasack, Dayton",FR-1,Millikin,54.71,Greenville College Select Meet,15-Apr-23,NaN,400 Hurdles,CCIW,Men
3,"Marra, Peter",JR-3,Carroll (Wis.),55.49,Rex Foster Twilight,7-Apr-23,NaN,400 Hurdles,CCIW,Men
4,"Gissinger, Olav",FR-1,North Park,56.13,Wheaton Invitational 2023,14-Apr-23,NaN,400 Hurdles,CCIW,Men
5,"Harvey, Alex",SO-2,Illinois Wesleyan,58.12,Wabash College Huntsman Family Invite 2023,8-Apr-23,NaN,400 Hurdles,CCIW,Men
6,"Wieser, Andrew",JR-3,Elmhurst,58.33,Illinois College True Blue Invite,7-Apr-23,NaN,400 Hurdles,CCIW,Men
7,"Nwatu, Emmanuel",FR-1,Millikin,58.56,Greenville College Select Meet,15-Apr-23,NaN,400 Hurdles,CCIW,Men
8,"Ruth, Ethan",JR-3,Illinois Wesleyan,59.02,Wabash College Huntsman Family Invite 2023,8-Apr-23,NaN,400 Hurdles,CCIW,Men
9,"Giller, Jediah",JR-3,Wheaton (Ill.),01:00.3,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,400 Hurdles,CCIW,Men
10,"Emmons, Emmett",FR-1,Millikin,01:00.8,Illinois College True Blue Invite,7-Apr-23,NaN,400 Hurdles,CCIW,Men
11,"Connor, Jason",SO-2,North Central (Ill.),01:01.5,Spartan Opener,2-Apr-23,NaN,400 Hurdles,CCIW,Men
12,"Gatunzi, Justin",SO-2,Carthage,01:01.6,Wheaton Invitational 2023,14-Apr-23,NaN,400 Hurdles,CCIW,Men
13,"Baldwin, Curtis",SO-2,Augustana (Ill.),01:03.3,Wheaton Invitational 2023,14-Apr-23,NaN,400 Hurdles,CCIW,Men
14,"O'Neil, Patrick",FR-1,North Central (Ill.),01:03.6,Spartan Opener,2-Apr-23,NaN,400 Hurdles,CCIW,Men
15,"Jandura, Eric",SO-2,Elmhurst,01:04.6,Illinois College True Blue Invite,7-Apr-23,NaN,400 Hurdles,CCIW,Men
16,"Gabrys, Ethan",FR-1,Augustana (Ill.),01:05.1,Rex Foster Twilight,7-Apr-23,NaN,400 Hurdles,CCIW,Men
17,"Campos, Adrian",SO-2,Elmhurst,01:06.1,Wheaton Invitational 2023,14-Apr-23,NaN,400 Hurdles,CCIW,Men
1,"Babinec, Julia",SR-4,North Central (Ill.),01:07.8,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,400 Hurdles,CCIW,Women
2,"Jones, Hannah",JR-3,North Central (Ill.),01:09.5,Wheaton Invitational 2023,14-Apr-23,NaN,400 Hurdles,CCIW,Women
3,"Witzig, Tori",SO-2,Illinois Wesleyan,01:09.9,Wheaton Invitational 2023,14-Apr-23,NaN,400 Hurdles,CCIW,Women
4,"Konieczny, Gianna",SO-2,Elmhurst,01:10.9,Wheaton Invitational 2023,14-Apr-23,NaN,400 Hurdles,CCIW,Women
